PA_ID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,GAZ_AREA,GIS_AREA,REPT_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,X_COORD,Y_COORD,MGT_PLAN,RES_NUMBER,EPBC,SHAPE_AREA,SHAPE_LEN
ACT_32,Percival Hill,Nature Reserve,NR,IV,Y,0,79.18083191,79.18083191,"""2006-05-18T00:00:00.000Z""","""2006-05-18T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.09886412,-35.1960924,M,ACT32,State,0.0000783683869624,0.0401908371338
ACT_33,Goorooyarroo,Nature Reserve,NR,IV,Y,0,829.37353516,829.37353516,"""2006-08-25T00:00:00.000Z""","""2014-11-07T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.18186118,-35.19413444,M,ACT33,State,0.000820845225091,0.142018842399
ACT_34,Callum Brae,Nature Reserve,NR,IV,Y,0,143.32553101,143.32553101,"""2008-03-31T00:00:00.000Z""","""2008-03-31T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.1413456,-35.35822163,M,ACT34,State,0.000142134216619,0.076764133625
ACT_35,West Jerrabomberra,Nature Reserve,NR,IV,Y,0,260.91134644,260.91134644,"""2008-03-31T00:00:00.000Z""","""2008-03-31T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.1601685,-35.37187108,M,ACT35,State,0.000258786224543,0.0965589730109
ACT_36,Kama,Nature Reserve,NR,IV,Y,0,154.75561523,154.75561523,"""2008-12-12T00:00:00.000Z""","""2008-12-12T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.02560097,-35.26743582,M,ACT36,State,0.000153300244509,0.0526240434806
ACT_40,Molonglo Gorge,Nature Reserve,NR,IV,Y,0,990.02923584,990.02923584,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.25859855,-35.3272079,N,ACT40,State,0.000981233003533,0.463244852258
ACT_48,Kinleyside,Nature Reserve,NR,IV,Y,0,228.46812439,228.46812439,"""2014-11-07T00:00:00.000Z""","""2014-11-07T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.08849138,-35.16215151,N,ACT48,State,0.000226031244165,0.0837383480375
ACT_39,Namadgi,National Park,NP,II,Y,0,77780.2890625,77780.2890625,"""1993-09-14T00:00:00.000Z""","""2013-03-18T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.02276518,-35.7880212,M,ACT39,State,0.0773880041184,2.81468479224
ACT_41,Bimberi Wilderness,Wilderness Zone,WZ,IB,Y,0,28877.57226563,28877.57226563,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,148.87356926,-35.67944881,M,ACT41,State,0.0287503688595,1.00673019606
ACT_22,Rob Roy,Nature Reserve,NR,IV,Y,0,2047.94616699,2047.94616699,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.12017301,-35.49698177,M,ACT22,State,0.0020343590617,0.272778420127
ACT_37,Gigerline,Nature Reserve,NR,IV,Y,0,1476.62854004,1476.62854004,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.1099151,-35.56133535,M,ACT37,State,0.00146781214637,0.280684516095
ACT_01,Bullen Range,Nature Reserve,NR,IV,Y,0,4023.90795898,4023.90795898,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,148.99718697,-35.39905832,M,ACT01,State,0.00399217477819,0.557846416424
ACT_05,Cooleman Ridge,Nature Reserve,NR,IV,Y,0,186.97261047,186.97261047,"""1993-09-14T00:00:00.000Z""","""2015-04-15T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.03485653,-35.36330656,M,ACT05,State,0.000185425748134,0.10670450128
ACT_38,Lower Molonglo River Corridor,Nature Reserve,NR,IV,Y,0,568.90350342,568.90350342,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,148.9916892,-35.26199559,M,ACT38,State,0.000563529570105,0.222794085005
AWC_15,North Head,Private Nature Reserve,PNR,NA,Y,0,73.76046212,73.76046212,"""1900-01-01T00:00:00.000Z""","""1900-01-01T00:00:00.000Z""",NSW,SHFT,AWC,P,,T,1,151.29756979,-33.81358395,N,15,Private,0.0000718243805233,0.0402494317501
AWC_15,North Head,Private Nature Reserve,PNR,NA,Y,0,0.00465199,0.00465199,"""1900-01-01T00:00:00.000Z""","""1900-01-01T00:00:00.000Z""",NSW,SHFT,AWC,P,,T,2,151.29343122,-33.8144965,N,15,Private,4.529866571e-9,0.0343200271334
BHA_13,Brogo,Conservation Reserve,CR,IB,Y,127.2,124.90298077,124.90298077,"""2010-06-30T00:00:00.000Z""","""2010-06-30T00:00:00.000Z""",NSW,BHA,BHA,P,,T,1,149.77988102,-36.51112365,M,13,Private,0.0001256520283,0.077225145246
BHA_14,Tarcutta Hills,Conservation Reserve,CR,IV,Y,430.3,433.50117846,433.50117846,"""2011-06-27T00:00:00.000Z""","""2011-06-27T00:00:00.000Z""",NSW,BHA,BHA,P,,T,1,147.70173831,-35.36987317,M,14,Private,0.000429958891986,0.133404523066
BHA_18,Scottsdale,Conservation Reserve,CR,IV,Y,1141,1357.40444175,1357.40444175,"""2012-09-13T00:00:00.000Z""","""2012-09-13T00:00:00.000Z""",NSW,BHA,BHA,P,"Formerly ""Scottsdale Grassy Woodland Reserve"" (PA_ID = CWTH_N2076)",T,1,149.12868256,-35.90119199,M,18,Private,0.00135511917201,0.166834215995
BHA_22,Burrin Burrin,Conservation Reserve,CR,IB,Y,407.5,410.96644312,410.96644312,"""2015-06-23T00:00:00.000Z""","""2015-06-23T00:00:00.000Z""",NSW,BHA,BHA,P,,T,1,149.64605062,-35.37722613,M,22,Private,0.000407648351992,0.114237437551
BHA_23,Nameless Sylvan,Conservation Reserve,CR,II,Y,56.35,56.339758,56.339758,"""2015-06-23T00:00:00.000Z""","""2015-06-23T00:00:00.000Z""",NSW,BHA,BHA,P,,T,1,150.74139505,-34.7275679,M,23,Private,0.0000554510452287,0.0514095284879
ACT_47,Old Naas TSR,Nature Reserve,NR,IV,Y,0,18.81089211,18.81089211,"""2013-03-18T00:00:00.000Z""","""2013-03-18T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.05521122,-35.6019167,N,ACT47,State,0.0000187103792501,0.0202423348323
ACT_42,Stony Creek,Nature Reserve,NR,IV,Y,0,827.48175049,827.48175049,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,148.95696744,-35.29320531,M,ACT42,State,0.00081995493373,0.368525067834
ACT_43,Swamp Creek,Nature Reserve,NR,IV,Y,0,155.03796387,155.03796387,"""2008-03-31T00:00:00.000Z""","""2008-03-31T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,148.93207038,-35.24285797,M,ACT43,State,0.000153534932181,0.0888843729111
ACT_44,Tidbinbilla,Nature Reserve,NR,II,Y,0,5136.28955078,5136.28955078,"""1993-09-14T00:00:00.000Z""","""2012-03-20T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,148.89296558,-35.49093076,M,ACT44,State,0.00509991286909,0.842983262683
ACT_46,Woodstock,Nature Reserve,NR,IV,Y,0,344.51699829,344.51699829,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,148.96626981,-35.24073558,M,ACT46,State,0.000341140851634,0.141970468714
ACT_02,Aranda Bushland,Nature Reserve,NR,IV,Y,0,109.97493744,109.97493744,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.08053658,-35.26900204,M,ACT02,State,0.000108942714664,0.0679629382748
ACT_03,Black Mountain,Nature Reserve,NR,IV,Y,0,461.78543091,461.78543091,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.09665897,-35.27034913,M,ACT03,State,0.000457458259704,0.100122330633
ACT_04,Bruce Ridge,Nature Reserve,NR,IV,Y,0,96.73577118,96.73577118,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.10050279,-35.2558614,M,ACT04,State,0.000095812456411,0.0601493335288
ACT_06,Farrer Ridge,Nature Reserve,NR,IV,Y,0,195.43493652,195.43493652,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.10425782,-35.38775507,M,ACT06,State,0.000193872793696,0.089600345821
ACT_07,Gossan Hill,Nature Reserve,NR,IV,Y,0,47.31315613,47.31315613,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.0842796,-35.24645469,M,ACT07,State,0.0000468563804236,0.0472274043603
ACT_08,Isaacs Ridge,Nature Reserve,NR,IV,Y,0,362.12573242,362.12573242,"""1993-09-14T00:00:00.000Z""","""2014-12-12T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.13009353,-35.37905768,M,ACT08,State,0.000359176268689,0.112730171999
ACT_09,Jerrabomberra Wetlands,Nature Reserve,NR,IV,Y,0,207.52891541,207.52891541,"""1993-09-14T00:00:00.000Z""","""2014-12-12T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.1587246,-35.31039951,M,ACT09,State,0.000205684018294,0.0783564566964
ACT_10,Wanniassa Hills,Nature Reserve,NR,IV,Y,0,281.72296143,281.72296143,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.11254157,-35.39739411,M,ACT10,State,0.000279502132842,0.138172287889
ACT_11_26,Unnamed,Nature Reserve,NR,IV,Y,0,219.59907532,219.59907532,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.13055165,-35.4502525,M,ACT_11_26,State,0.000218004858379,0.13327605591
ACT_12,McQuoids Hill,Nature Reserve,NR,IV,Y,0,55.94389343,55.94389343,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.03476847,-35.38186203,M,ACT12,State,0.0000554948035727,0.030333612756
ACT_13,Mt Ainslie,Nature Reserve,NR,IV,Y,0,769.75445557,769.75445557,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.16758409,-35.2675763,M,ACT13,State,0.000762516213966,0.133097360149
ACT_14,Mt Majura,Nature Reserve,NR,IV,Y,0,370.20907593,370.20907593,"""1993-09-14T00:00:00.000Z""","""2014-12-12T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.17875394,-35.23442455,M,ACT14,State,0.000366580453941,0.107928363072
ACT_15,Mt Painter,Nature Reserve,NR,IV,Y,0,89.95896149,89.95896149,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.06393875,-35.26791928,M,ACT15,State,0.0000891133973155,0.0809595512546
ACT_16,Mt Pleasant,Nature Reserve,NR,IV,Y,0,65.54433441,65.54433441,"""1993-09-14T00:00:00.000Z""","""2014-12-12T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.158076,-35.29504727,M,ACT16,State,0.0000649496091845,0.0648507960803
ACT_17,Mt Mugga Mugga,Nature Reserve,NR,IV,Y,0,151.38699341,151.38699341,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.12219605,-35.35215188,M,ACT17,State,0.000150115441512,0.101000222084
ACT_18,Mt Taylor,Nature Reserve,NR,IV,Y,0,302.05999756,302.05999756,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.07378843,-35.3698211,M,ACT18,State,0.000299591394069,0.150323334365
CWTH_N2019,Gosford Coastal Open Space System,NRS Addition - Gazettal in Progress,NRS,IV,I,0,22.18891596,22.18891596,"""1900-01-01T00:00:00.000Z""","""1900-01-01T00:00:00.000Z""",NSW,GCC_NSW,DOEE_NRSP,G,,T,1,151.4276279,-33.45585065,N,N2019,State,0.0000215180102502,0.0278821792235
CWTH_N2020,Hexham Swamp,NRS Addition - Gazettal in Progress,NRS,IV,I,0,766.14264756,766.14264756,"""2005-08-26T00:00:00.000Z""","""2005-08-26T00:00:00.000Z""",NSW,HCR_CMA,DOEE_NRSP,G,,T,1,151.65930568,-32.85896701,N,N2020,State,0.000738108201721,0.346427201317
ACT_19,O'Connor Ridge,Nature Reserve,NR,IV,Y,0,58.7493782,58.7493782,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.11245108,-35.24885791,M,ACT19,State,0.0000581836931727,0.0417412961785
ACT_20,Oakey Hill,Nature Reserve,NR,IV,Y,0,65.89142609,65.89142609,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.06905637,-35.33928939,M,ACT20,State,0.0000653286309182,0.0481666982008
ACT_21,Red Hill,Nature Reserve,NR,IV,Y,0,298.13763428,298.13763428,"""1993-09-14T00:00:00.000Z""","""1993-09-14T00:00:00.000Z""",ACT,ACT_TCCS,ACT_TCCS,G,,T,1,149.11191395,-35.32326311,M,ACT21,State,0.0002955634048,0.123302878155
